ID,Code,Name
1,ABPCOR,ABOITIZ POWER CORPORATION
2,AGTIN,AGRICULTURAL TRAINING INSTITUTE
3,AMPIN,"AMMIC PHILIPPINES, INC."
4,ANMLC,ANTI-MONEY LAUNDERING COUNCIL
5,APRNI,AP RENEWABLES INC
6,AFPSLAI,ARMED FORCES AND POLICIES SAVINGS AND LOAN ASSOCIATION INC.
7,ASCEND,"ASCENDER INNOVATION, OPC"
8,ASEANA,ASEANA HOLDINGS INC
9,ASSURED,ASSURED ASSET MANAGEMENT LIMITED
10,BALENCOR,BALAMBAN ENERZONE CORPORATION
11,BANCNET,"BANCNET, INC."
12,BDO,"BDO UNIBANK, INC."
13,BIR,BUREAU OF INTERNAL REVENUE
14,CCLO,CASTILLO CUI LAW OFFICE
15,CPFI,CENTURY PACIFIC FOOD INC
16,CBC,CHINA BANKING CORPORATION
17,CPC,CHIYODA PHILIPPINES CORP
18,CHH,CHONG HUA HOSPITAL
19,CONVERGE,"CONVERGE INFORMATION TECHNOLOGY SOLUTIONS, INC."
20,CLPC,COTABATO LIGHT AND POWER COMPANY
21,DLPCI,"DAVAO LIGHT AND POWER CO, INC."
22,DICT,DEPARTMENT OF INFORMATION AND COMMUNICATIONS TECHNOLOGY
23,DND,DEPARTMENT OF NATIONAL DEFENSE
24,DTC,DITO TELECOMMUNITY CORPORATION
25,DFPI,DUTY FREE PHILIPPINES INC
26,EFSI,ENTRE FULFILLMENT SOLUTIONS INC.
27,FOPMI,FIRST OCEANIC PROPERTY MANAGEMENT INC
28,GYPGP,GATMAYTAN YAP PATACSIL GUTIRREZ AND PROTACIO
29,VCFVOC,VERNANCE COMMISSION FOR VERNMENT OWNED OR CONTROLLED CORPS
30,GLC,GUR LAVI CORP.
31,GXI,"G-XCHANGE, INC."
32,HVPI,H VILLARICA PAWNSHOP INC.
33,HBI,"HEDCOR BUKIDNON, INC"
34,SSI,"HEDCOR SABANGAN, INC"
35,HSI ,"HEDCOR SIBULAN, INC"
36,HI,"HEDCOR, INC"
37,HVPI,HL VILLARICA PAWNSHOP INC.
38,HRVPI,HRV VILLARICA PAWNSHOP INC.
39,IGL,INFINIT-O GLOBAL LIMITED
40,IRI,INSPIRO RELIA INCORPORATED
41,IHCI,INSULAR HEALTH CARE INC.
42,JGSHI,JG SUMMIT HOLDINGS INC
43,KMC,KAREILA MANAGEMENT CORPORATION
44,KIPL,KUMUMEDIA INTERNATIONAL PTE. LTD
45,LEC,LIMA ENERZONE CORPORATION
46,LHC,LUZON HYDRO CORPORATION
47,MAEC,MACTAN ENERZONE CORPORATION
48,MALEC,MALVAR ENERZONE CORPORATION
49,MOREI,MANILA-OSLO RENEWABLE ENTERPRISE INC
50,MPTDI,METRO PACIFIC TOLLWAYS DIGITAL INC.
51,MSL,MOONRICH SOLUTIONS LTD
52,NCMH,NATIONAL CENTER FOR MENTAL HEALTH
53,NICA,NATIONAL INTELLIGENCE COORDINATING AGENCY (NICA)
54,NPC,NATIONAL PRIVACY COMMISSION
55,OCPC,ONCO CARE PHARMA CORP
56,OACI,ONE ALPHA COMM INC
57,OCVIMAD,ORIENT CAPITAL VENTURES INC. (MSW Madison Square)
58,OCVIOLO,ORIENT CAPITAL VENTURES INC. (MSW Olongapo)
59,OCVITOM,ORIENT CAPITAL VENTURES INC. (MSW Tomas Morato)
60,OCVIRP,ORIENT CAPITAL VENTURES INC. (ROYAL PLACE)
61,PGSMI,PEARL GRACE SHIP MANAGEMENT INC
62,PAL,PHILIPPINE AIRLINES
63,PASRC,PHILIPPINE ASSOCIATED SMELTING AND REFINING CORPORATION
